[0.000000] (-) TimerEvent: {}
[0.000416] (-) JobUnselected: {'identifier': 'custom_package'}
[0.000557] (-) JobUnselected: {'identifier': 'demo'}
[0.000581] (-) JobUnselected: {'identifier': 'techman_robot_get_status'}
[0.000713] (-) JobUnselected: {'identifier': 'techman_robot_msgs'}
[0.000760] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.000871] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.000914] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12'}
[0.000998] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12x'}
[0.001180] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14'}
[0.001259] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14x'}
[0.001301] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-700'}
[0.001323] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-900'}
[0.001356] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-700'}
[0.001378] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-900'}
[0.001502] (-) JobUnselected: {'identifier': 'tm_moveit_cpp_demo'}
[0.001521] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.001596] (-) JobUnselected: {'identifier': 'ui_for_debug_and_demo'}
[0.001636] (tm_description) JobQueued: {'identifier': 'tm_description', 'dependencies': OrderedDict()}
[0.092079] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/environment/ament_prefix_path.sh\n'}
[0.092199] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/environment/ament_prefix_path.dsv\n'}
[0.092317] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/environment/path.sh\n'}
[0.092448] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/environment/path.dsv\n'}
[0.092580] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/local_setup.bash\n'}
[0.092703] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/local_setup.sh\n'}
[0.092853] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/local_setup.zsh\n'}
[0.093003] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/local_setup.dsv\n'}
[0.093111] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/package.dsv\n'}
[0.093250] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/ament_index/resource_index/packages/tm_description\n'}
[0.093373] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/cmake/tm_descriptionConfig.cmake\n'}
[0.093530] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/cmake/tm_descriptionConfig-version.cmake\n'}
[0.093678] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/package.xml\n'}
[0.093799] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes\n'}
[0.093934] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700\n'}
[0.094072] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/collision\n'}
[0.094215] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/collision/tm5-700_arm2_c.stl\n'}
[0.094489] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/collision/tm5-700_arm1_c.stl\n'}
[0.094582] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual\n'}
[0.094648] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual/tm5-700_arm1.stl\n'}
[0.094712] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual/tm5-700_arm1.mtl\n'}
[0.094775] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual/tm5-700_arm2.stl\n'}
[0.094837] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual/tm5-700_arm1.obj\n'}
[0.094899] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual/tm5-700_arm2.obj\n'}
[0.094969] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-700/visual/tm5-700_arm2.mtl\n'}
[0.095032] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12\n'}
[0.095094] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/collision\n'}
[0.095157] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/collision/tm12-arm1_c.stl\n'}
[0.095220] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/collision/tmr_750w_01_c.stl\n'}
[0.095282] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/collision/tm12-base_c.stl\n'}
[0.095344] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/collision/tm12-arm2_c.stl\n'}
[0.095591] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual\n'}
[0.096079] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-arm1.mtl\n'}
[0.096395] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-base.mtl\n'}
[0.096660] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-base.obj\n'}
[0.096788] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-base.stl\n'}
[0.096976] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-arm2.stl\n'}
[0.097147] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-arm2.obj\n'}
[0.097316] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-arm2.mtl\n'}
[0.097437] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tmr_750w_01.obj\n'}
[0.097605] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-arm1.stl\n'}
[0.097812] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tm12-arm1.obj\n'}
[0.097984] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tmr_750w_01.stl\n'}
[0.098096] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm12/visual/tmr_750w_01.mtl\n'}
[0.098335] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900\n'}
[0.098449] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision\n'}
[0.098771] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tm5-900_arm1_c.stl\n'}
[0.098920] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tmr_400w_01_c.stl\n'}
[0.099075] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tmr_iox_c.stl\n'}
[0.099187] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tmr_100w_01_c.stl\n'}
